app_name,category,reviewer_ratings,review_body
American Cancer Society FUNdraising,Lifestyle,4," Love being able to track my team and event at all times plus take 
donations. But the random app updates where you can't open the app with out 
updating is annoying. I was beyond embarrassed when during opening 
ceremomies, I went to open the app to announce current total and team role 
call as eve ...Full ReviewLove being able to track my team and event at all times plus take 
donations. But the random app updates where you can't open the app with out 
updating is annoying. I was beyond embarrassed when during opening 
ceremomies, I went to open the app to announce current total and team role 
call as eve t lead and it wouldn't run due to updates although the night 
before no issue. It would be awesome if there was a extra option for 
leadership or team captains to deposit money under team members names."
American Cancer Society FUNdraising,Lifestyle,3," Since the update, when I click on the app it tries to open but ends open 
taking me back to my home page. After 4 or 5 attempts it usually will open."
American Cancer Society FUNdraising,Lifestyle,4, Like being able to track my team
American Cancer Society FUNdraising,Lifestyle,3," All of my donations have shown up, but when I tried to change things on my 
profile it came up as a web page error? Also, when I'd click various links 
to check out how it all works I was told that the main site certificate 
isn't updated or something and that continuing could be unsafe. It might be...Full ReviewAll of my donations have shown up, but when I tried to change things on my 
profile it came up as a web page error? Also, when I'd click various links 
to check out how it all works I was told that the main site certificate 
isn't updated or something and that continuing could be unsafe. It might be 
my phone, bc none of the people who donated mentioned this. I would look 
into it, though. Thank you."
American Cancer Society FUNdraising,Lifestyle,4," I would like to add any items to my team members as team captain, but seem 
to be unable to do it"
American Cancer Society FUNdraising,Lifestyle,5," It just means everything i feel,,everything i live... from day to 
day,,minute to minute,,,it is just so real ,,,so true...."
American Cancer Society FUNdraising,Lifestyle,5, Love it!
American Cancer Society FUNdraising,Lifestyle,5," The App has been AWESOME for selling our items during our Relay!!! I don't 
think it could be any easier to use."
American Cancer Society FUNdraising,Lifestyle,5," This app has improved since last year! It's so easy to use and I highly 
recommend! We used it at our event and will continue using it!"
American Cancer Society FUNdraising,Lifestyle,3, Hard to line up the check to take a picture
American Cancer Society FUNdraising,Lifestyle,5, Very easy app to use😁
American Cancer Society FUNdraising,Lifestyle,4, Great & easy to use
American Cancer Society FUNdraising,Lifestyle,2," Used this app, last year...it was great.  This year...its HORRIBLE!  I keep getting an error message to try and log in later; then I try to log in via facebook...no luck!  I need to scan checks into my page...cant make that happen.  HELP!!!!"
